Date,Type,Link
2023-12-18 19:20:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142573844891951104%29
2023-12-18 19:19:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142573294339219456%29
2023-12-18 19:05:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142573027468230657%29
2023-12-18 19:04:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142574982362038273%29
2023-12-18 19:04:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142586183729033217%29
2023-12-18 19:04:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142589660081405952%29
2023-12-18 19:04:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142584002862915584%29
2023-12-18 17:43:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142568773936472064%29
2023-12-18 17:42:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142561944925880321%29
2023-12-18 17:42:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142565593584496641%29
2023-12-18 17:42:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142558954701705217%29
2023-12-18 17:42:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142555156302270464%29
2023-12-18 17:42:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142559961322106881%29
2023-12-18 17:42:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7142544051613986816%2C7142554493145047041%29
